Year,Sales(In ThousandDollars)
1,2504.995194815205
2,570.151400233337
3,1089.0460300686175
4,2796.2666264197755
5,559.7195676080875
6,1028.12917918157
7,3479.861968574366
8,648.307945688923
9,1196.6329908859914
10,3839.787378212593
11,732.3547717232709
12,1174.481601238583
13,3791.4061905346866
14,731.9810882484177
15,1168.2790953991075
16,3272.9977694890385
17,692.7503444992091
18,1203.4560261104407
19,3146.0151782506673
20,640.606902581274
21,1107.9399592658115
22,3338.3982977566557
23,623.996707546345
24,1139.4494225734322
25,3399.1388555133767
26,677.1599234229593
27,1040.3020670249462
28,3477.0646051750323
29,732.1496283182149
30,1108.032923039282
31,4210.953734437768
32,914.9810167427366
33,1402.5724068251611
34,4210.953734437768
35,914.9810167427366
36,1402.5724068251611
